T(degC),P(mmHg),O3(ppm),SO2(pub),PM25(ug/m3),category
10.724242,739.080808,0.04491,0.780612,6.99569,2.0
9.296364,730.327273,0.041846,0.41434,8.570058,1.0
13.583636,763.709091,0.039045,1.223292,8.959836,2.0
12.773333,760.833333,0.040584,2.448473,9.136667,2.0
10.622951,649.147541,0.048773,1.071412,11.408163,1.0
9.5,756.097345,0.038227,0.695832,7.893694,2.0
11.679508,762.180328,0.050011,0.834528,7.711475,2.0
8.715789,605.614035,0.051647,0.214192,2.120536,1.0
12.596591,733.443182,0.044446,0.710358,8.763636,2.0
11.987629,756.42268,0.045821,0.84591,8.905769,2.0
11.895798,747.142857,0.041019,3.12452,11.373109,2.0
12.649091,744.927273,0.034024,2.266693,11.992562,2.0
9.820175,743.421053,0.041244,0.648649,9.887273,1.0
9.89661,733.728814,0.040958,0.007695,8.977778,1.0
9.753333,742.433333,0.042759,1.478165,11.510694,2.0
11.451724,755.327586,0.044337,2.366284,6.837931,2.0
10.959322,746.254237,0.041836,3.943206,9.489831,2.0
11.654444,760.612188,0.043655,0.647703,7.66482,2.0
7.869231,716.144068,0.0464,0.394435,5.197458,1.0
12.05082,753.991803,0.04513,0.686131,7.681285,2.0
9.019672,743.344262,0.041939,0.486787,9.782051,1.0
8.149153,715.420168,0.037817,0.389318,5.78,1.0
10.181967,744.016393,0.042197,1.35436,12.203161,1.0
10.7725,746.575,0.040939,1.168616,9.491667,2.0
12.068852,759.278689,0.034274,1.04153,7.345763,2.0
14.075325,751.090909,0.043766,1.030796,7.422078,1.0
12.248544,757.902913,0.041423,2.044904,6.427184,2.0
9.659292,739.247788,0.045862,1.398741,7.60531,1.0
5.97265,697.401709,0.042672,1.262478,6.253623,1.0
11.713333,753.0,0.041866,1.052561,6.306667,2.0
8.591667,746.158333,0.046082,0.851764,8.086667,2.0
9.231667,747.35,0.040596,2.266072,8.302841,1.0
9.034426,742.852459,0.042011,3.06418,8.440164,2.0
10.221429,740.765306,0.045707,0.759527,8.792857,2.0
10.367544,750.315789,0.039415,0.608736,6.401754,1.0
8.875,740.258333,0.035913,0.713584,9.637931,2.0
10.290164,760.57377,0.039574,0.875701,6.538889,2.0
8.803077,738.492308,0.043918,1.42141,8.37619,1.0
